quarter,game_clock,shot_clock,ball_x,ball_y,ball_z,player_0_team_id,player_0_player_id,player_0_x,player_0_y,player_0_z,player_1_team_id,player_1_player_id,player_1_x,player_1_y,player_1_z,player_2_team_id,player_2_player_id,player_2_x,player_2_y,player_2_z,player_3_team_id,player_3_player_id,player_3_x,player_3_y,player_3_z,player_4_team_id,player_4_player_id,player_4_x,player_4_y,player_4_z,player_5_team_id,player_5_player_id,player_5_x,player_5_y,player_5_z,player_6_team_id,player_6_player_id,player_6_x,player_6_y,player_6_z,player_7_team_id,player_7_player_id,player_7_x,player_7_y,player_7_z,player_8_team_id,player_8_player_id,player_8_x,player_8_y,player_8_z,player_9_team_id,player_9_player_id,player_9_x,player_9_y,player_9_z,game_id,game_date,event_id,event_type,event_num,player_id,team_id,team,description,shot_result
1,707.25,24.0,3.91592,25.58263,4.07934,1610612754,201588,25.13357,42.09495,0.0,1610612754,101133,8.59038,29.12755,0.0,1610612754,101145,20.27971,9.1354,0.0,1610612754,202730,31.30909,19.18481,0.0,1610612754,202331,12.5674,45.28627,0.0,1610612748,2548,11.54876,12.57746,0.0,1610612748,2547,18.94992,22.25667,0.0,1610612748,2736,7.64769,37.71717,0.0,1610612748,201609,9.71629,34.73978,0.0,1610612748,202355,4.6167,25.41067,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,707.21,24.0,3.73434,25.72445,4.09256,1610612754,201588,25.39876,41.93998,0.0,1610612754,101133,8.776,29.29869,0.0,1610612754,101145,20.77552,9.23778,0.0,1610612754,202730,31.60623,19.19699,0.0,1610612754,202331,12.94334,45.13237,0.0,1610612748,2548,11.66998,12.61243,0.0,1610612748,2547,19.03781,22.22765,0.0,1610612748,2736,7.75988,37.81202,0.0,1610612748,201609,9.63932,34.78068,0.0,1610612748,202355,4.45179,25.48696,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,707.17,24.0,3.55547,25.87367,4.10847,1610612754,201588,25.67378,41.77935,0.0,1610612754,101133,9.02309,29.44048,0.0,1610612754,101145,21.27617,9.34249,0.0,1610612754,202730,31.92367,19.20981,0.0,1610612754,202331,13.33038,44.98276,0.0,1610612748,2548,11.79819,12.64,0.0,1610612748,2547,19.14034,22.19545,0.0,1610612748,2736,7.88466,37.92054,0.0,1610612748,201609,9.56016,34.80694,0.0,1610612748,202355,4.28005,25.55754,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,707.13,24.0,3.37952,26.02949,4.12728,1610612754,201588,25.94874,41.61713,0.0,1610612754,101133,9.31875,29.54052,0.0,1610612754,101145,21.77625,9.44968,0.0,1610612754,202730,32.25457,19.23349,0.0,1610612754,202331,13.72234,44.8363,0.0,1610612748,2548,11.92998,12.67379,0.0,1610612748,2547,19.24156,22.15508,0.0,1610612748,2736,8.02045,38.04401,0.0,1610612748,201609,9.47334,34.82514,0.0,1610612748,202355,4.10079,25.63064,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,707.09,24.0,3.2067,26.19113,4.14921,1610612754,201588,26.21322,41.45206,0.0,1610612754,101133,9.63697,29.64513,0.0,1610612754,101145,22.2754,9.55283,0.0,1610612754,202730,32.59105,19.26217,0.0,1610612754,202331,14.10432,44.68393,0.0,1610612748,2548,12.06766,12.70847,0.0,1610612748,2547,19.3547,22.11377,0.0,1610612748,2736,8.16449,38.17413,0.0,1610612748,201609,9.37944,34.82906,0.0,1610612748,202355,3.91235,25.71987,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,707.05,24.0,3.03723,26.35778,4.17448,1610612754,201588,26.47897,41.28103,0.0,1610612754,101133,9.96085,29.75395,0.0,1610612754,101145,22.78094,9.65803,0.0,1610612754,202730,32.93106,19.29536,0.0,1610612754,202331,14.48064,44.52662,0.0,1610612748,2548,12.21742,12.74494,0.0,1610612748,2547,19.46881,22.06571,0.0,1610612748,2736,8.29821,38.32053,0.0,1610612748,201609,9.30075,34.81048,0.0,1610612748,202355,3.71507,25.80713,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,707.01,24.0,2.87131,26.52866,4.20331,1610612754,201588,26.74287,41.10916,0.0,1610612754,101133,10.30649,29.85224,0.0,1610612754,101145,23.29014,9.75731,0.0,1610612754,202730,33.29206,19.34018,0.0,1610612754,202331,14.85937,44.36738,0.0,1610612748,2548,12.37325,12.7812,0.0,1610612748,2547,19.58219,22.01231,0.0,1610612748,2736,8.43132,38.46691,0.0,1610612748,201609,9.21027,34.78386,0.0,1610612748,202355,3.51529,25.91147,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.97,24.0,2.70915,26.70298,4.23591,1610612754,201588,27.00129,40.92924,0.0,1610612754,101133,10.62609,29.96942,0.0,1610612754,101145,23.79747,9.86636,0.0,1610612754,202730,33.66621,19.39733,0.0,1610612754,202331,15.24968,44.21278,0.0,1610612748,2548,12.53492,12.81425,0.0,1610612748,2547,19.69599,21.95523,0.0,1610612748,2736,8.56579,38.60919,0.0,1610612748,201609,9.11508,34.7572,0.0,1610612748,202355,3.3057,26.00668,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.93,24.0,2.55856,26.91901,4.44835,1610612754,201588,27.2624,40.74395,0.0,1610612754,101133,10.96156,30.07175,0.0,1610612754,101145,24.31949,9.96275,0.0,1610612754,202730,34.03348,19.45617,0.0,1610612754,202331,15.63722,44.05213,0.0,1610612748,2548,12.70569,12.84175,0.0,1610612748,2547,19.81408,21.89594,0.0,1610612748,2736,8.70431,38.76021,0.0,1610612748,201609,9.01635,34.71752,0.0,1610612748,202355,3.09948,26.11836,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.89,24.0,2.36335,27.06038,4.49759,1610612754,201588,27.52159,40.55785,0.0,1610612754,101133,11.33734,30.16302,0.0,1610612754,101145,24.84488,10.0576,0.0,1610612754,202730,34.40446,19.52111,0.0,1610612754,202331,16.03579,43.8962,0.0,1610612748,2548,12.88227,12.86608,0.0,1610612748,2547,19.93413,21.83353,0.0,1610612748,2736,8.85193,38.91276,0.0,1610612748,201609,8.91049,34.66782,0.0,1610612748,202355,2.88971,26.226,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.85,24.0,2.17345,27.25701,4.59159,1610612754,201588,27.78324,40.36676,0.0,1610612754,101133,11.73506,30.23825,0.0,1610612754,101145,25.35531,10.16031,0.0,1610612754,202730,34.78388,19.59491,0.0,1610612754,202331,16.442,43.73568,0.0,1610612748,2548,13.06183,12.89166,0.0,1610612748,2547,20.05491,21.77041,0.0,1610612748,2736,9.01332,39.07315,0.0,1610612748,201609,8.79611,34.61304,0.0,1610612748,202355,2.68138,26.32044,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.81,24.0,1.9669,27.48828,4.76486,1610612754,201588,28.04137,40.17301,0.0,1610612754,101133,12.13195,30.34107,0.0,1610612754,101145,25.85948,10.26433,0.0,1610612754,202730,35.16885,19.68475,0.0,1610612754,202331,16.86579,43.57663,0.0,1610612748,2548,13.24288,12.91466,0.0,1610612748,2547,20.18738,21.70187,0.0,1610612748,2736,9.17202,39.21058,0.0,1610612748,201609,8.67932,34.55477,0.0,1610612748,202355,2.47451,26.41352,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.77,24.0,1.74521,27.63417,4.703,1610612754,201588,28.30561,39.97376,0.0,1610612754,101133,12.56209,30.40827,0.0,1610612754,101145,26.361,10.36394,0.0,1610612754,202730,35.56343,19.7828,0.0,1610612754,202331,17.29365,43.42062,0.0,1610612748,2548,13.43138,12.93517,0.0,1610612748,2547,20.37356,21.65187,0.0,1610612748,2736,9.28793,39.35565,0.0,1610612748,201609,8.55819,34.49738,0.0,1610612748,202355,2.26454,26.50759,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.73,24.0,1.47268,27.79887,4.86059,1610612754,201588,28.56917,39.77254,0.0,1610612754,101133,12.9953,30.46364,0.0,1610612754,101145,26.8652,10.46369,0.0,1610612754,202730,35.96929,19.87687,0.0,1610612754,202331,17.72358,43.26164,0.0,1610612748,2548,13.62557,12.95005,0.0,1610612748,2547,20.56503,21.60028,0.0,1610612748,2736,9.38434,39.47504,0.0,1610612748,201609,8.43048,34.44161,0.0,1610612748,202355,2.05493,26.5926,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.69,24.0,1.19788,27.90456,4.79181,1610612754,201588,28.83401,39.57322,0.0,1610612754,101133,13.4464,30.50933,0.0,1610612754,101145,27.36733,10.57432,0.0,1610612754,202730,36.36699,19.97077,0.0,1610612754,202331,18.15249,43.10482,0.0,1610612748,2548,13.82059,12.96071,0.0,1610612748,2547,20.7146,21.50777,0.0,1610612748,2736,9.52891,39.6141,0.0,1610612748,201609,8.30236,34.38664,0.0,1610612748,202355,1.83899,26.68194,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
1,706.65,24.0,0.95037,28.0848,4.73265,1610612754,201588,29.10229,39.37013,0.0,1610612754,101133,13.91565,30.54584,0.0,1610612754,101145,27.86736,10.69076,0.0,1610612754,202730,36.75862,20.07567,0.0,1610612754,202331,18.57893,42.94432,0.0,1610612748,2548,14.0179,12.97362,0.0,1610612748,2547,20.8748,21.41285,0.0,1610612748,2736,9.70437,39.76835,0.0,1610612748,201609,8.17431,34.33206,0.0,1610612748,202355,1.64571,26.77037,0.0,0021500333,2015-12-11,2,1,1,101133.0,1610612754.0,home,Mahinmi 2' Alley Oop Layup (2 PTS) (Ellis 1 AST),made
